review_date,review_title,review_comment,review_rating
6 October 2010,"The desire to get laid earns him 25 billion, but he did not get lucky",Recently I got more and more annoyed by the fact that every site I went on wanted me to log in with my facebook account I thought that facebook was a site for people who wanted to get laid and I did not see the connection with my political views or opinion about a TV show so I saw no reason to join Also I had enough bad lays in my lifetime I do not need any more When I heard all that Hallelujah about the Social Network movie I went to see it in the hope of understanding the younger generation and facebook better My reaction leaving the theatre was mainly relief that I am not young anymore The representation of life on Harvard campus and in California did not look like fun to me Especially the way the girls were depicted was nauseating I found myself confirmed that facebook was originally created by boys who wanted to get laid and that becoming a billionaire is easy nowadays if you find a way to promise social contact to enough lonely and desperate people It is the same principle they sell deodorants silicon breasts hair transplants botox cars make up wonder bras Oprah mouth wash fashion Viagra porn alcohol Dr Phil drugs etc with The only ones who get lucky in this game are the sellers not the buyers The good message of the movie was that all the money in the world cannot buy that so much desired social contact I found myself frequently checking my watch which is not a good sign while watching a movie The acting was good the guys were all supposed to be a holes and they played that role quite well The movie had a somber look to me and sometimes there was so much background noise that I had a hard time to follow the conversation How sad that 500 million people have to join this site to get some social contact,3
30 September 2010,"I ""like this""",Director David Fincher s The Social Network stars Jessie Eisenberg as Mark Zuckerberg and depicts how he became the billionaire behind the popular Facebook website We start with the humble origin of the site s forerunner as a prank Mark pulls after breaking up with then girlfriend Erica Rooney Mara This catches the attention of the school s social elites who pitch their site to Mark only to have him leave the project and launch Thefacebook a site eerily similar to their concept But before anyone can grasp the situation Facebook becomes a phenomenon Along for the bumpy ride are Eduardo Saverin Andrew Garfield Mark s best friends and FB co founder as well as Napster founder Sean Parker played by Justin Timeberlake Tradition dictates that a film s protagonist or hero needs to be likable When the audience isn t rooting for the hero the movie usually falls apart Not true for The Social Network a movie that thrives on the disdain achieved by Mark Zuckerberg in this account From the start he is overtly blunt rude and careless with no signs of remorse Does this sound like a guy who would donate 100 million to a public school system The Social Network chronicles Marks efforts to hijack ideas and leave out friends It s a story about an antagonist Great performances abound Jessie Eisdenberg is a distant fast talking smart alec Andrew Garfield has a fantastic scene where his easy going Eduardo loses his cool and for once Justin Timberlake doesn t suck I m sure Sean and Justin mutually agree to his lady s man charlatan portrayal But the fun doesn t stop there The score by Atticus Ross and Trent Reznor s is reminiscent of Tangerine Dream and it lifts many scenes I think some people will be letdown to find that the story of Facebook is framed by legal hearings but there are some clever screenplay elements put into play by scribe Aaron Sorkin The Social Network is billed as a dark comedy but I found it to be a straight drama Almost every movie regardless of the subject has a lighthearted moment and that s what I see in The Social Network it s a drama that happens to contain some humor For instance it would behoove you stay on the good side of a twin who describes him as 6 5 220 and there s 2 of me There are times where the use of soft focus goes to the extreme and the mise en sc ne masks drug use Heck college students even sub out the f bomb for some truly awkward PG 13 retention dialog Cutting from an R to grab a PG 13 for assumed profits has never been this bizarre Even without showing a dollar The Social Network is a far more timely and engaging tale of greed and woe than last week s Wall Street Money Never Sleeps but still it would have been nice for the film to clarify how Facebook became so preposterously overvalued After all this is a move about some people you came into money and the audience never understand where the money came from Is it the movie of this generation Perhaps but that would be because this generation can t make an income from inventing a tangible product My distaste for Facebook may be obvious but I like this,8
13 January 2011,THE SOCIAL NETWORK: The Zenith of Privacy Deprivation,The amount of information about the film THE SOCIAL NETWORK driving it toward being named Best Picture Best Actor Best Supporting Actor etc etc etc can only be compared to the global blast of privacy invasion that the topic of the film FACEBOOK has caused The story of Mark Zuckerberg Jesse Eisenberg acted with as much flatline self absorption as the character he portrays a compliment and Eduardo Saverin Andrew Garfield in the most sensitive multifaceted performance in the film and their brainy computer manipulated program that became the ruler of the computer universe is well told The fact that the idea was lifted from the Winklevoss twins recreated a la The Parent Trap concept by one actor Armie Hammer and Harvard sidekick Divya Narendra Max Mingella provides the story driver here the history of Facebook is told through back and forth sessions at the depositions for law suits alternating with transmission of the incidents of the developmental struggles of the toy It is story of obsession of the fragmentation of trust between friends of the proliferation of a challenging brainy idea into a billions of dollars scheme and it is a documentation of how the current state of mind of the students to adults feed on gossip and instantaneous information dissemination the results of which we are only beginning to appreciate as individual privacy becomes a relic Ben Mezrich s book The Accidental Billionaires as been transformed to the screen by writer Aaron Sorkin and director David Fincher Seven 1995 The Game 1997 Fight Club 1999 Panic Room 2002 and Zodiac 2007 The Curious Case of Benjamin Button 2008 As with his other films Fincher successfully creates an atmosphere that captures the message of his films Here that atmosphere includes degrading women drowning dialogue with inordinately loud music on the soundtrack courtesy Trent Reznor and Atticus Ross maladaptive behavior and the gradual loss of dignity of those young people who propel this concept of Facebook to success not the least of which is a study of Napster Pro Sean Parker well played by Justin Timberlake This is a long loud noisy crude roller coaster ride of a film that probably is true to the mark as a docudrama and as terrifyingly thought provoking Grady Harp,3
14 July 2021,Doesn't hold back,or the evil behavior of Mark Zuckerberg part one This film really needs a sequel to cover everything that s happened since 2010 It s very well made but I have to say it s hard to like anyone as they re all so flawed including the Harvard elitists who came up with much of the original concept the CFO who was a nice enough guy but deeply unqualified for his position and Sean Parker at least in the portrayal here with his narcissism and partying They re all multibillionaires today so it s hard to feel too sorry for any of them And then of course there s Zuckerberg whose moral failings are apparent throughout from his misogyny and arrogance in college to backstabbing people along the way He is a complete a hole and I liked how David Fincher didn t hold anything back while telling the story I wish it had been truthful about Zuckerberg s personal life as Priscilla Chan is nowhere to be seen but the gist of the film seems right particularly given what would happen in the decade which followed Seriously let s have a part two,8
26 August 2013,"A visual information streaming without any real cinematic, artistic and emotional effect",It is surprising and quite shocking for me that most people appreciated the work David Fincher had done especially the style the approach the pacing the editing etc The Social Network is a cinema free and art free movie also I didn t consider it as an entertainment film The Social Network has no heart and soul it is almost impossible to feel anything about anything happening on the screen including the characters I didn t hate the main character as I didn t like him either but the problem is not the character I can t see any artistic touch or cinema feeling in this movie It was like just story and dialogs nothing else so I found the movie mechanic See Fincher s other works especially his early period there is a huge gap between those and The Social Network As for entertainment personally I was not entertained but also I don t think that this movie intended to be entertainment If it was then it is a failure It was impossible to be entertained for me because of the pacing of the movie and probably it was literally the most exhausting movie I have ever seen in my life Not only the characters speak too fast but also the pacing of the film This editing style course of events with no break is something I really hate as a moviegoer like that shaky cam and if you ask me it doesn t add brilliance to the movie The another main problem of the movie is lacking of any message depth or social commentary I had expected a thought provoking film and I can easily say that Benjamin Button includes much more themes messages and comments on life than The Social Network The Social Network has no background think about a movie without a background just the story the characters are there and dialogs This is such a movie so the movie doesn t let you feel anything about anything I saw a lot of biographical movies but haven t seen such a film before If things such as cinematic experience dramatic structure heart and soul character and story depth etc mean a lot for you like me then prepare yourself for a poor and very exhausting cinematic journey Unfortunately some great directors like some great actors lose their talent even if not they don t make great movies as they did in the past such as Brian De Palma Steven Spielberg Ridley Scott Tim Burton etc and as I a big Fincher fan it is too hard and painful for me to say this but Fincher is now one of those names either Considering David Fincher s career it is like before Panic Room and after Panic Room By the way I really liked and enjoyed Panic Room but it was the transition movie of Fincher Personally I prefer the period before Panic Room because I wasn t that impressed by the movies he did after Panic Room In this movie if Fincher did something brilliant I couldn t see what it is A smart movie for me is something like 500 Days of Summer If in the history of cinema there is any other movie similar with The Social Network in terms of style with real pacing problems that could be Syriana but even Syriana was a more important film than this if you ask me despite I wasn t impressed by that movie either I would have wanted to see scenes from life scenes from Facebook users lives some social and psychological comments and the most important relationships I don t know but there is one thing I am sure about that which is it would be very interesting and useful to see such a film for every of us Then what is the point of this film Just to give us some information If so this is not cinema The Social Network is a visual information streaming just that,1
17 August 2021,The modern citizen kane,Same moral same character arch It feels lazy to reuse this plot but it s mind bending how well it works,10
4 October 2011,All films written by lawyers are really about lawyers.,A bright social misfit Mark Zuckerberg becomes a billionaire by coming up with a new and radical way of communicating with friends and colleges through the internet But was he the complete and total author Before I even saw this film I congratulated David Fincher and his production team for even touching this theme So recent a piece of social history The protagonist has the deepest pockets imaginable so the film is clearly guided by lawyers and legal advice The usual flashback he said she said bomb proof air raid shelter Mostly based on court deposition Not only was the film virtually written by lawyers they feature on screen more than they need to Loyalty free parasites all of them I don t think many people will want to see this product twice and over time the high IMDb rating will shrink Why Because the soup is too thin We know he did it what we may not know is how he did it Once this is learnt in the broadest who do you believe strokes then there is not a lot to return to Credit Jessie Eisenberg for playing a slightly autistic virgin loner who clings to the wall at parties but clearly untrue He not only had a girlfriend before his life went bang but he is still with her today Movie convention dictates that all programmers are geeky social misfits usually wearing glasses held together with sticking plaster They stopped short of this here but clich is not avoided Programming is a slow business Like working in treacle To show his skill he hammers away like a speed typist But most of programming is debugging He never got it right first time Although to be fair only programmers know this and the audience has no interest in such nuts and bolts Quality acting by lead Eisenberg and especially good support from Justin Timberlake as theft is good Napster founder Sean Parker who really is quite adept at playing flash character roles Lost a lot of weight to make himself look younger The movie contradicts itself is when it claims that Zuckerberg has no real interest in money Especially when most of his actions show that he wants to cut the cake more and more in his favour and earlier makes himself scarce rather than having to lie Cowards lying Like Bill Gates featured in cameo I don t envy him because he is not cool and in reality money above a certain level cannot improve your life Not unless your only ambition is to build a hospital in the Third World Like many I came to this film looking for information and what I got was mostly opinion and spin At worst it clinks and clangs in its ball and chain However I was entertained for a couple of hours and that is really all we should ask of a film,7
30 March 2011,"Considering I am 'old' and a history teacher, this movie isn't exactly geared towards me...",My review is best read and understood in context I am 46 years old and in the Facebook world that makes me OLD and an ex history teacher so what I liked and disliked about the film is not what the average viewer would think This isn t meant as an insult just that I know I am not like the typical demographic for whom the movie was made I am very computer savvy for my age but that still makes me a dinosaur compared to a teenager or 30 something person The fact that I have never had a Facebook account alone makes me an odd ball So when I see the film I do NOT wax nostalgic about the good ol days of 2004 or 2005 Additionally as a history teacher I CRAVE accuracy in films and tend to nit pick them far more than normal For me history is like the Bible you don t embellish it or interpret it is IS truth So a younger person seeing the film with me would find me insufferable as I would look for the flaws and ignore the bigger picture So I did some research and found that the film makers did NOT intend for a historical account of Facebook but wanted to craft an exciting story that people would love And to do so personalities were changed and facts were omitted or ignored My biggest problem is that in reading about Facebook s founder Mark Zuckerberg while he is no angel nor does he seem to be as the movie strongly implies a sociopath with Asperger s Syndrome I was also a psyc teacher trust me on this this is exactly as the film portrays him And although he is exciting to watch in the film Justin Timberlake s version of the fonder of Napster isn t exactly spot on either So if you can ignore the artistic license what are you left with in The Social Network Well for 46 year old guys like me not a huge amount or at least not as much as I might have hoped based on all the publicity the film received Yes I liked it but didn t love it I liked some of the acting again I ll mention liking Justin Timberlake something I NEVER thought I d see myself putting in writing and the rest of the cast were good I also loved the way the twins were magically created using computers and a single actor cool But the story didn t engage me that much Yes I know they are all rich as can be but other than that I just didn t get it And as a middle aged fart I guess I wasn t intended to,7
17 January 2011,This movie is over rated,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,1
9 October 2010,Over-hyped,he Social Network about the intrigue surrounding the founding of the fantastically popular website Facebook perhaps you ve heard of it is a fine film but not a great one That s a little disappointing considering that David Fincher Seven Zodiac Fight Club is the director but the movie isn t much more than a run of the mill history movie about a subject matter websites that s not particularly compelling In 2003 Harvard undergrad Mark Zuckerberg Jesse Eisenberg Zombieland creates a quickie site called Facemash which takes head shots of female coeds and puts them side by side allowing male users to rate which one is more attractive This crashes the Harvard network and brings him to the attention of one of the many posh elite clubs on campus whose leaders the Winklevoss twins ask Mark to create a social networking site for them but open only to Harvard students This in turn leads Mark to create Facebook itself rather than the Harvard oriented site It also sets off a chain of events that would eventually make Mark a billionaire albeit one sued by not only the twins but by his own best friend Eduardo Saverin Andrew Garfield the company s CFO The movie s how it all came together theme is interspersed with legal proceedings both sets that put everything into a sort of current context What caused Eduardo and Mark to be at odds Do the twins have a chance of defeating Mark And how does Sean Parker of Napster Justin Timberlake fit into all of this More than 500 million people use Facebook presently It s no longer a haven limited to college students My mom s on it If my grandparents were alive they d be on it as well It s a hugely successful tool in so many ways small businesses can use it to keep in touch with their customers friends can find their friends anywhere in the world people can catch up with old classmates and so on It s highly intuitive and very user friendly and it s all free Making a movie about a website can t be easy A website isn t three dimensional it s not exhilarating to watch someone create one The Social Network is simply not an exciting movie although it tries really hard to be one It attempts to show that the intrigue and back stabbing that occurred behind the scenes of its rapid rise into the zeitgeist is riveting fascinating stuff But when the movie was over I didn t know much more about Mark Zuckerberg than I did going in to the theater and what I learned about Facebook itself was just trivia On top of that the legal stuff that s always in the background is just dull no matter how many snide answers Zuckerberg gives to opposing counsel We re not talking about the Scopes monkey trial here On the plus side we do get a terrific performance from Eisenberg who shows he s not just another schlubby always a victim actor the role has some real heft to it and he s amazingly up to the challenge particularly with the rapid patter that always seems to be coming from Zuckerberg s mouth Other than that though this is almost a generic origin story about a subject that s really not interesting enough to warrant a full length movie,6
2 October 2010,"Overrated, But It Stays With You",I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,6
19 October 2010,Unlikable Kids All Speak Like the Same Person.,If you like Sorkin s writing and would like to see a film of unlikable kids all speaking as if they were channeling him then you may like The Social Network If you like movies with a non stop score through pretty much the entire movie and if you like NiN you may appreciate the way the filmmakers are trying to give the film some sort of life The Michael Cera actor is the same as he is in all his films but not nearly as enjoyable Can t really comment on the other actors but Justin Timberlake seemed uncomfortably out of place Female characters were basically non existent If you know the basics of the story then there are no surprises there it s about the Facebook founder There are also some litigation and party scenes plus several dorm scenes That pretty much sums up the film,5
10 January 2011,By Far David Fincher's Best Work,This film offers what purports to be the true story of Mark Zuckerberg the founding of Facebook I suspect it is fairly accurate as it is based on court documents What may seem like a simple story of geek innovation is also a story of theft betrayal and the rise of modern social networking technology Jesse Eisenberg is amazing as Mark Zuckerberg How accurate he is or any of the actors are I do not know But his geek genius and social ineptitude are clear and I think that is spot on Eisenberg was the right choice for the role as no other person has the geeky vibe but can be a very serious actor as well as comedian Justin Timberlake is also great as Sean Parker Timberlake does not act often but when he does I am often impressed he was great in Black Snake Moan for example Maybe being a talkative big shot is not a stretch for him but he pulls it off and gives me a whole new perspective on Parker a man I have somewhat admired Though I admire Shawn Fanning much more and viewers should not confuse the two the film does not make this distinction clear I had no idea he had any involvement in technology beyond Napster and I find it odd that a geek would be so party happy though I guess he worked more on the investment end Kevin Spacey produced this film and I love him for it Spacey is an amazing actor and I am glad to see him move into the realm of producing not unlike George Clooney if I am not mistaken Trent Reznor was also involved on the music end Fincher has long been a Reznor fan so I think this is a perfect choice and Trent nails the score I am surprised his involvement did not get a bigger notice David Fincher has been a great director for years Seven is obviously his masterpiece and even the troubled Alien 3 is decent Zodiac was a great telling of a classic true crime tale I think Social Network might be the best yet though While Seven is his best overall it suffers from not being a film everyone would want to watch This one is more universal and very timely especially with Zuckerberg being 2010 s Man of the Year If you have not yet caught this one do so now I suspect it will get a handful of Oscar nominations and maybe even a win or two Fincher s dark visions brought the world of Silicon Valley Oh yes,9
30 January 2014,Cold And Soulless,It took about a minute for me to know I was not going to like this film The male character Mark Jesse Eisenberg a Harvard University computer geek addresses a college age girl sitting across from him in a pub In an annoying voice and with all the warmth of a dead computer he speed talks his way through what is supposed to be a romantic date As the plot moves along Mark morphs into a kind of juvenile Gordon Gekko obsessed with his work greedy self satisfied and unconcerned with the welfare of anyone but himself With the possible exception of Eduardo Andrew Garfield almost all other characters including Mark are cold as ice selfish and downright soulless The Harvard University President is portrayed not only as obnoxious but also unethical Basically the script consists of a thousand villains and no one to applaud One really good line of dialogue stabs like a dagger In a scene where Mark sits in a conference room staring at his laptop as usual a female legal assistant named Marilyn asks him What are you doing Checking in to see how Facebook is going in Bosnia To which Marilyn responds in a tone of sadness Bosnia they don t have roads but they have Facebook The cast is too big Acting is acceptable given the heartless subject matter Visuals overall are too dark Sound quality in some scenes is terrible Filler scenes could have been edited out Trying to be hip The Social Network cashes in on the success of a contemporary internet fad Twenty years from now the film not only will be dated it will play like some relic from antiquity Either that or humanity will have been replaced by soulless robots exchanging notes with each other in code through some ghostly Orwellian hologram called Bot book,2
6 October 2012,PBS Documentaries are more interesting,This was a complete an utter borefest The previews made it look like it was fun informative and maybe even a little bit sexy Guess what It wasn t The story about Mark Zuckerberg is an interesting one so you would think a movie about it would be interesting I was wrong Unless your idea of a good time is sitting around doing calculus while a bunch of other nerds talk about calculus this movie is a complete waste of your time Just wait for a documentary to come out about it or read a book it is bound to be more interesting and exciting Basically this is also a movie assembled by Zuckerberg s spurned former business partners and enemies and is indeed a pretty unflattering view of the man Jesse Eisenberg played the part of the socially inept Zuckerberg pretty well if he truly is the annoying person that the film portrays him as In fact if you were to make a movie about an annoying geek Eisenberg would definitely fit the bill and I m not sure he is very far off from that character Justin Timberlake plays the only interesting person in the whole movie the creator of Napster but he is barely in the movie I should have known this movie would really be a disastrous borefest but I didn t realize David Fincher was the director With the exception of Se7en and Fight Club most of his films are unwatchable This is a good movie to put on if you are trying to put grown adults asleep before their bedtime Otherwise just put the DVD down because the studio should pay you to sit through this,2
11 October 2010,"Just as Fincher gave us the definitive Generation X film with ""Fight Club"", he and Aaron Sorkin give us a definitive Generation Y film...",and that s The Social Network It joins the ranks of his best and just like many of his his previous works has been reviled before it was properly understood For months before it came out it was the laughing stock of people who were off put by the idea of a movie about Facebook even though it s easy to look and see that it s about the founding of Facebook and the people behind it just like Fight Club is dismissed as a violent film about people fighting or that Se7en is just a serial killer movie Not to get sidetracked though The Social Network is filmmaking and storytelling of a high order that shows the grand irony of a socially inept Harvard student named Mark Zuckerberg who ended up creating one of the largest social phenomena of the twenty first century and love Facebook or hate it it most certainly is that The story works as an engaging fascinating character study at the beginning of the story Mark is a socially maladjusted reject and even after several million friends and a few billion dollars later he remains pretty much the same The outstanding acting style and direction as well as the great script armed to the teeth with sharp dialogue is what people are likely to miss by dismissing it as a mere Facebook movie Even if it were just a movie about Facebook why is such subject matter off limits Things that have become a large part of our culture shouldn t be reflected in our art Or is it because of that That technology is such a scary thing and needs to be dismissed The indisputable fact is that everything that s going on with social networking and the world of the Internet is incorporated into the ideas of a certain corner of history this one which will be remembered as such and The Social Network may very well be remembered as a film to define that era So please this is one of the films to see this year Don t get hung up on the idea that it s just a silly Facebook movie or else you ll be missing out on an excellent picture,
23 July 2011,Lets End Everybody's Facebook Obsession Now Folks,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,1
22 August 2020,Impeccable Script and Incredible Direction,It s been a while ignoring rewatches since a movie has left me as speechless as i am now i m about 10 years late to the party but right from the first scene i was at a loss for words the flawlessly written dialogue the perfect editing and the shockingly raw performances made me so excited for this movie and to say i wasn t disappointed is an understatement it s been a LONG time since a movie has sucked me in like this one has and it s definitely been some time since i actually felt sad when i saw that i was already halfway through a movie as the tension on screen grew so did my admiration for this MASTERPIECE and its unparalleled pacing captivating storyline cinematography and soundtrack and my lack of sympathy for mark zuckerberg oops,9
16 September 2010,"Can the ""Facebook movie"" be one of the best of the year? Yep, it sure can...",The Social Network was an incredibly engaging film that while mainly revolving around the invention of Facebook and all the problems that the creators encountered both before and after all was said and done really focused in on ideas and feelings that can be and are universally felt through all people the primary example being trying to fit in Everyone wants to be accepted I for one have never met a single human being that has wanted to be a loner and some will do whatever it takes to get that sort of attention which tends to lead into bad consequences In a year where movies have received some of the lowest critical ratings as well as box office earnings in recent memory The Social Network was while haunting truly refreshing and ultimately a triumph in all aspects whether it be considering the acting script or directing It was a fantastic movie that shouldn t just be among the best of the year it s so much more important than that It defines the entire social networking generation and that is one hell of an accomplishment Everyone can relate to it one way or another and that makes it one of the must see pictures of the year,10
2 October 2022,I Like the Film More Than I Do Facebook,I was slow to see The Social Network with the cast and subject matter it just didn t interest me I m glad that I did finally give it a viewing because I found it quite entertaining It s a solid ensemble cast and Eisenberg is particularly strong He successfully creates a truly unique character that is nerdy insecure selfish condescending smug and a total jerk and yet one that we want to watch The scene where his girlfriend Rooney Mara simply and deftly explains why girls don t like him is pure gold I m curious to see how The Social Network will stand up to the test of time but for now I found it very engaging and worth checking out,8
16 December 2010,What a trash...! If u got brains simply avoid it!,I d put off watching THE SOCIAL NETWORK for a time suspecting it to be a dry and slow moving film After all it was about the guy who founded Facebook so how much fun could it be I didn t much like the idea of watching a film based around people sitting on computers so I was in no hurry to see it Now I ve watched it and things have changed Because THE SOCIAL NETWORK turns out to be one of David Fincher s best films and that s from a director whose filmography is littered with gems This is a hugely entertaining and thoroughly gripping story of success defeat lies and deceit and I was so caught up in the narrative that the two hour running time flew past The joy of THE SOCIAL NETWORK is that it focuses on the conflict between the various parties involved with the founding of one of the world s most popular websites It s bam bam bam with barely time to breathe let alone get bored Good performances are given across the board particularly from Jesse Eisenberg and Andrew Garfield two actors I m normally disposed to dislike both of whom are excellent Technical values are unsurprisingly absolutely spectacular and it s clear that Fincher is in his element making a mini masterpiece out of the premise Splendid stuff,2
1 December 2011,"Who cares, and more importantly, why????",Cinema students rejoice Here is an American film worthy of critical analysis and close examination Its camera work is at times stunning The acting performances are worthy The direction is tight and focused all the while entering some new territory regards narrative structure The sound was daringly attempted albeit not wholly successful So why just six stars Because with all the film s many technical and artistic high points and there are many I just didn t care It didn t entertain me I understand that many folks might find Mark Zuckerberg s rise to Facebook CEO interesting however I suspect that a good many more people will not I am among the latter About eight years ago former San Diego Union Tribune movie critic David Elliot wrote eloquently of a movie s need to personally reach a viewer s psyche before the individual can embrace it Providing entertainment is the goal of all movies I fought against this thinking most all my life I wrongfully assumed that a film could be judged on its artistic merits alone with no consideration given to its ability to make a personal connection with the viewer Even if the connection was unexplainable and strictly visceral the movie must make an emotional and personal impact on the viewer for the film to be a success The viewer must be entertained Well this movie is an example of Elliot s observation The film did nothing for me It was one long dull and boring straight line in spite of its artistic touches I didn t care about Mark Zuckerberg before the film and I don t have any more interest in him afterward I wanted to like this movie Again there is a lot to like technically it gets an A artistically it gets and A but for entertainment value it struggles to get a D I hope you like it You may Everyone s likes and dislikes regarding movies are different I agree with Elliot in that films should ultimately be judged on a personal level after considering their artistic and technical achievements For my tastes I ll see another film for my entertainment dollar Afterall isn t that what movies are made for ENTERTAINMENT This movie is many things many good things but it isn t entertaining,6
9 October 2011,"Fun for about 2 minutes, just like Facebook",Here we have Jesse Eisenberg whose rendering of genius is to talk really fast in hurried clipped vocalizations Fine You know what it s better than Matt Damon saying How do you like them Apples So Jesse Eisenberg s acting is annoying But that alone only warrants going down to a 6 or 7 how have we gone down to a 1 Because this movie goes beyond being overrated It s not just overrated it s something like ordering a 100 dessert at the best restaurant in America and being served an empty dish save for a solitary blue skittle on it And all this after reading in the NYT that this restaurant had the best desserts in NYC I think any half wit could see what is really going on This pile of junk is being promoted by the mass media for some godforsaken reason that speculating upon would have me labeled a paranoid schizophrenic So I won t speculate on why the media fawned over this strangely moronic film as if it somehow foretold the second coming of Christ What I will say is that this movie is disingenuous crap that is filled with clich s racial stereotypes bigotry and elaborately staged scenes of sheer human idiocy surpassed only by Jackass 3 5 This movie warranted more than a 1 it s really a reaction to the hype the hype which is absurd at best and criminal at worst It s actually quite funny the way all absurdly overblown Hollywood movies are,1
31 December 2010,Sorkins web/back,If you have never heard of Aaron Sorkin you should seek out West Wing One of the best TV shows produced EVER Really great writing and smart plot combined I didn t know he was responsible for the script for that movie before I went in but I should have seen that coming or hear it in the dialogs Of course before all that was the idea of a movie about Facebook Or the Facebook movie as it was also called It seemed like a joke Until you heard the director attached to the project David Fincher Now why would he want to do a movie about Facebook I can t really answer that but I m guessing he read the book the main character of the movie wrote and he found something in it he liked Same must go for Sorkin His fast paced dialog might feel a bit distance for some But for those who came to love it they will really cherish every line spoken in the movie If the real deal is as clever and eloquent as Eisenberg who is portraying him Don t know but it s not like everything is made as an ode to the Facebook Founder And Mr Timberlake might finally get recognized as a real actor too He s earned it,9
6 September 2013,The movie this generation deserves,In a Frank Zappa interview he once discussed the changing music industry how it slowly went downhill due to executives not taking any real risks while thinking they knew what was cool or what the kids wanted in order to meet their bottom line He goes on to basically say that the current at that time decline in music quality originality is what our society deserves Since the masses obviously keep buying into the MTV culture where good art is more about looks money style than actual content I think Zappa s idea applies to this film and our declining society as a whole in terms of film music and the entertainment industry in general We deserve this type of tripe shallow superficial pop culture fad praising art that we throw gobs of money at each year This film is a cookie cutter what s cool now made for TV special with apparently a wild squirrel randomly jumping on piano keys for the soundtrack There are some solid performances here but overall it is too panderous to the contemporaries who will remember the rising popularity of Myspace 2 What is worse is that they didn t even make a Steve Jobs film until after he passed Jobs and company did a lot more to change the way we interact in all aspects of life Why did Facebook Zuckerberg need a 2 hour film about him even as the site s popularity was rising I guess because it s hip so IN right now They may as well start making films about eBay s rise to power the evolution of YouTube starring Justin Bieber as Chad Hurley Our watered down over hyping society is sadly continuing into a dangerous trend of accepting essentially superficial and empty products that all look the same but with a slightly different package Everyone wants to be a star or know something about stars Both desires just like this film do not result in anything worthwhile I give it 10 15 years max before Facebook becomes as relevant as Pet Rocks Gangnam Style If critics and audiences keep buying into this garbage it is certainly what they deserve more of,1
